firstNoun,connectorParticle,secondNoun,frequency
ABBRUCH,,MATERIAL,342
AAL,,FANG,94
ABBRUCH,,BAGGER,14
ABBRUCH,,SIEG,109
ABBRUCH,,ARBEITER,4
AAL,,NETZ,2
AAL,,SPEER,2
AAS,,GERUCH,57
ABBILDUNG,S,FREIHEIT,4
AAS,,FRESSER,462
AAS,,GEIER,241
ABBRECHER,,QUOTE,568
ABDANKUNG,S,URKUNDE,72
ABBREVIATUR,,SPRACHE,0
ABBILDUNG,S,FEHLER,375
AAL,,QUAPPE,23
AAS,,FLIEGE,24
AAS,,SEITE,10
ABBRUCH,,GENEHMIGUNG,117
AAL,,STECHEN,1
AAL,,HAMEN,2
ABBRUCH,,KANTE,518
AAS,,INSEKT,3
ABBILD,,THEORIE,66
AAL,,TIERCHEN,8
AAL,,WANDERUNG,5
ABDAMPF,,APPARAT,0
ABBRUCH,,HAMMER,24
ABBAU,,STOSS,36
AAL,,SUPPE,47
ABBRUCH,,KOSTEN,289
AAL,,MUTTER,37
AAS,,GESTANK,1
AAS,,BLUME,29
ABBAU,,SYSTEM,26
AAS,,VOGEL,26
ABBRUCH,,SIEGER,30
ABBAU,,HAMMER,97
AAL,,TREPPE,2
ABBAU,,STRECKE,159
AAL,,KASTEN,0
AAL,,FISCHER,5
ABBRUCH,,FIRMA,49
ABBRUCH,,ARBEIT,802
AAL,,RAUPE,12
ABBAU,,ERSCHEINUNG,19
ABBAU,,FELD,406
AAL,,STRICH,356
AAL,,KORB,10
AAL,,REUSE,24
ABEND,,KONZERT,101
ABEND,,APPELL,54
ABBRUCH,,HAUS,0
ABEND,,HIMMEL,888
ABDAMPF,,ROHR,9
ABEND,,MAHLZEIT,102
ABDAMPF,,AUSTRITT,0
ABEND,,ANZUG,135
ABBAU,,PFEILER,6
ABEND,,GESELLSCHAFT,519
ABEND,,ANDACHT,117
ABDOMINAL,,SCHWANGERSCHAFT,2
ABDANKUNG,S,FEIER,15
ABDANKUNG,S,HALLE,0
ABDAMPF,,TURBINE,49
ABEND,,HAUCH,84
ABDAMPF,,KESSEL,1
ABEND,,ARBEIT,305
ABDAMPF,,VERWERTUNG,1
ABDAMPF,,LEITUNG,6
ABBRUCH,,STELLE,71
ABDICHTUNG,S,MATERIAL,19
ABDICHTUNG,S,ARBEIT,77
ABBAU,,KRANKHEIT,3
ABEND,,HERR,0
ABENDBROT,,TISCH,146
ABEND,,LAND,4563
ABEND,,KASSE,1270
ABEND,,KLEIDUNG,100
ABEND,,BRISE,11
ABENDBROT,,BESTECK,0
ABEND,,BELEUCHTUNG,30
ABENDMAHL,S,BROT,15
ABEND,,KURSUS,11
ABEND,,NEBEL,20
ABEND,,GOTTESDIENST,115
ABEND,,GESELLIGKEIT,14
ABEND,,BROT,1649
ABEND,,BALZ,0
ABEND,,AUSGABE,322
ABEND,,FACHSCHULE,10
ABEND,,LIED,350
ABEND,,DUNKEL,16
ABEND,,GLUT,4
ABEND,,HAUPTSCHULE,296
ABEND,,FRISUR,12
ABEND,,BLATT,2811
ABEND,,GAGE,38
ABEND,,EMPFANG,87
ABEND,,LICHT,431
ABENTEUER,,DURST,3
ABEND,,GAZETTE,0
