firstNoun,connectorParticle,secondNoun
A,-,DUR
A,-,JUGEND
A,-,KADER
A,-,KLARINETTE
A,-,MANNSCHAFT
A,-,PROBE
A,-,SAITE
A,-,SEGMENT
A,-,SÄULE
A,-,WARE
A CAPPELLA,-CAPPELLA-,CHOR
ABC-WAFFE,N-,FREI
ABM,-,KRAFT
ABM,-,PROJEKT
ABM,-,STELLE
ABM,,-LER
AHV,-,BEITRAG
AHV,-,BEZÜGER
AHV,-,RENTE
ASVG,-,PENSIONIST
ASVG,,-LER
AAL,,FANG
AAL,,FISCHER
AAL,,HAMEN
AAL,,KASTEN
AAL,,KORB
AAL,,MUTTER
AAL,,NETZ
AAL,,QUAPPE
AAL,,RAUPE
AAL,,REUSE
AAL,,RÄUCHEREI
AAL,,SPEER
AAL,,STECHEN
AAL,,STRICH
AAL,,SUPPE
AAL,,TIERCHEN
AAL,,TREPPE
AAL,,WANDERUNG
AAS,,BLUME
AAS,,FLIEGE
AAS,,FRESSER
AAS,,GEIER
AAS,,GERUCH
AAS,,GESTANK
AAS,,INSEKT
AAS,,JÄGER
AAS,,JÄGEREI
AAS,,KRÄHE
AAS,,KÄFER
AAS,,SEITE
AAS,,VOGEL
ABARBEITEN,,-UNG
ABARTIG,,-KEIT
ABARTEN,,-UNG
ABBAGGERN,,-UNG
ABBAU,,ERSCHEINUNG
ABBAU,,FELD
ABBAU,,FÖRDERUNG
ABBAU,,GERÄT
ABBAU,,HAMMER
ABBAU,,KRANKHEIT
ABBAUEN,ORT,ABBAU
ABBAU,,PFEILER
ABBAU,,STOSS
ABBAU,,STRECKE
ABBAU,,SYSTEM
ABBEDINGEN,,-UNG
ABBERUFEN,,-UNG
ABBESTELLEN,,-UNG
ABBIEGEN,,ASSISTENT
ABBIEGEN,,SPUR
ABBIEGEN,,UNFALL
ABBIEGEN,,-UNG
ABBILD,,THEORIE
ABBILDUNG,S,FEHLER
ABBILDUNG,S,FREIHEIT
ABBILDUNG,,MASSSTAB
ABBILDUNG,,NACHWEIS
ABBILDUNG,,VERZEICHNIS
ABBILDUNG,,VORSCHRIFT
ABBINDEN,,-UNG
ABBLASEN,,ROHR
ABBLENDEN,,LICHT
ABBLENDEN,,-UNG
ABBLÄTTERN,,-UNG
ABBRECHER,,QUOTE
ABBREVIIEREN,,-ATION
ABBREVIATUR,,SPRACHE
ABBRINGEN,,-UNG
ABBRUCH,,ARBEIT
ABBRUCH,,ARBEITER
ABBRUCH,,BAGGER
ABBRUCH,,FIRMA
ABBRUCH,,GENEHMIGUNG
ABBRUCH,,HAMMER
ABBRUCH,,HAUS
ABBRUCH,,KANTE
ABBRUCH,,KOSTEN
ABBRUCH,,MATERIAL
ABBRUCH,,SIEG
ABBRUCH,,SIEGER
ABBRUCH,,STELLE
ABBRAND,ÄND,-LER
ABBUCHEN,,-UNG
ABBÖSCHEN,,-UNG
ABBÜSSEN,,-UNG
ABC,-,BUCH
ABDACHEN,,-UNG
ABDAMPF,,APPARAT
ABDAMPF,,AUSTRITT
ABDAMPF,,ENTÖLER
ABDAMPF,,HEIZUNG
ABDAMPF,,KESSEL
ABDAMPF,,LEITUNG
ABDAMPF,,ROHR
ABDAMPF,,RÜCKSTAND
ABDAMPF,,TURBINE
ABDAMPF,,VERWERTUNG
ABDAMPF,,VORWÄRMER
ABDAMPF,,WÄRME
ABDANKEN,,-UNG
ABDANKUNG,S,FEIER
ABDANKUNG,,GOTTESDIENST
ABDANKUNG,S,HALLE
ABDANKUNG,S,URKUNDE
ABDECKER,,-EI
ABDECKEN,,MITTEL
ABDECKEN,,PLANE
ABDECKEN,,PLATTE
ABDECKEN,,-UNG
ABDECKEN,,VLIES
ABDICHTEN,,-UNG
ABDICHTUNG,S,ARBEIT
ABDICHTUNG,S,MATERIAL
ABDINGBAR,,-KEIT
ABDINGEN,,-UNG
ABDOMINAL,,SCHWANGERSCHAFT
ABDÄMMEN,,-UNG
ABEND,,ANDACHT
ABEND,,ANZUG
ABEND,,APPELL
ABEND,,ARBEIT
ABEND,,AUFFÜHRUNG
ABEND,,AUSGABE
ABEND,,BALZ
ABEND,,BELEUCHTUNG
ABEND,,BLATT
ABEND,,BRISE
ABEND,,BROT
ABENDBROT,,BESTECK
ABENDBROT,,TISCH
ABEND,,DUNKEL
ABEND,,DÄMMER
ABEND,,DÄMMERN
ABEND,,DÄMMERUNG
ABEND,,EMPFANG
ABEND,,FACHSCHULE
ABEND,,FALTER
ABEND,,FRISUR
ABEND,FÜLLER,FÜLLEN
ABEND,,GAGE
ABEND,,GARDEROBE
ABEND,,GAZETTE
ABEND,,GEBET
ABEND,,GESELLIGKEIT
ABEND,,GESELLSCHAFT
ABEND,,GLANZ
ABEND,,GLOCKE
ABEND,,GLUT
ABEND,,GOLD
ABEND,,GOTTESDIENST
ABEND,,GYMNASIUM
ABEND,,HAUCH
ABEND,,HAUPTSCHULE
ABEND,,HERR
ABEND,,HIMMEL
ABEND,,HOCHSCHULE
ABEND,,IMBISS
ABEND,,IMBISS
ABEND,,JOURNAL
ABEND,,KASSE
ABEND,,KLEID
ABEND,,KLEIDUNG
ABEND,,KONZERT
ABEND,,KURSUS
ABEND,,KÜHLE
ABEND,,LAND
ABEND,,LANDSCHAFT
ABEND,,LEHRGANG
ABEND,,LICHT
ABEND,,LIED
ABEND,,LUFT
ABEND,,LÄUTEN
ABEND,,MAHL
ABENDMAHL,S,BROT
ABEND,,MAHLZEIT
ABEND,,MANTEL
ABEND,,MELDUNG
ABEND,,MUSIK
ABEND,,NACHRICHT
ABEND,,NEBEL
ABEND,,OBERSCHULE
ABEND,,PFAUENAUGE
ABEND,,PFEIFE
